id;date;actor1;actor2;numEvent;goldenstein;numMen;numSource;numArticle;avgTone;url
253487171;20130401;USA;USA;20;3;1;1;1;4.04040404;http://www.upi.com/Top_News/US/2013/04/01/Report-C-Kennedy-vetted-to-be-envoy/UPI-97701364835687
253487172;20130401;USA;USA;20;3;1;1;1;4.04040404;http://www.upi.com/Top_News/US/2013/04/01/Report-C-Kennedy-vetted-to-be-envoy/UPI-97701364835687
253487173;20130401;USA;USA;20;3;8;1;8;2.752293578;http://www.cnn.com/2013/04/01/politics/caroline-kennedy-ambassador/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+Most+Recent%29
253487174;20130401;USA;USA;20;3;31;4;31;2.899657124;http://zeenews.india.com/news/world/caroline-kennedy-vetted-for-japanese-ambassador-post-report_839143.html
253487211;20130401;USA;USA;70;7;25;2;25;3.095292667;http://in.reuters.com/article/2013/04/01/obama-cabinet-deese-idINDEE9300DB20130401?feedType=RSS&feedName=worldNews
253487212;20130401;USA;USA;71;7.4;1;1;1;3.536345776;http://www.whittierdailynews.com/news/ci_22916704/mass-firm-will-shield-spacecraft-from-heat
253487213;20130401;USA;USA;71;7.4;1;1;1;3.536345776;http://www.whittierdailynews.com/news/ci_22916704/mass-firm-will-shield-spacecraft-from-heat
253487237;20130401;USA;USA;20;3;10;1;10;4.716981132;http://www.upi.com/Top_News/US/2013/04/01/Docs-Pot-brownies-a-target-for-kids/UPI-35411364840678/
253487256;20130401;USA;USA;20;3;2;1;2;2.248677249;http://www.dailymail.co.uk/news/article-2302301/Dark-Knight-killer-James-Holmes-faces-death-penalty-Colorado-movie-theater-massacre.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490
253487268;20130401;USA;USA;70;7;1;1;1;5.223880597;http://www.prnewswire.com/news-releases/detroit-women-raise-funds-for-needy-at-designer-shoe-auction-200940791.html
253487306;20130401;USA;USA;20;3;2;1;2;0.769230769;http://www.chron.com/news/houston-texas/houston/article/Bun-B-to-be-featured-as-part-of-Mayor-Parker-s-4400433.php
253487307;20130401;USA;USA;20;3;2;1;2;0.769230769;http://www.chron.com/news/houston-texas/houston/article/Bun-B-to-be-featured-as-part-of-Mayor-Parker-s-4400433.php
253487308;20130401;USA;USA;20;3;2;1;2;3.136531365;http://www.eenews.net/Greenwire/rss/2013/04/01/7
253487309;20130401;USA;USA;20;3;2;1;2;3.136531365;http://www.eenews.net/Greenwire/rss/2013/04/01/7
253487310;20130401;USA;USA;20;3;1;1;1;2.604698672;http://www.bloomberg.com/news/2013-04-02/donor-says-he-sought-menendez-on-medicare-without-breaking-law.html
253487371;20130401;USA;USA;20;3;2;1;2;2.397260274;http://www.google.com/hostednews/ap/article/ALeqM5jWcQzqzB986kfrnhs_E0n78Js4PQ?docId=10249281dfcc401b8ca39ad339bd83c3
253487372;20130401;USA;USA;20;3;10;1;10;1.956271577;http://news.yahoo.com/ca-business-summary-031530416--finance.html
253487373;20130401;USA;USA;20;3;4;1;4;2.397260274;http://www.google.com/hostednews/ap/article/ALeqM5jWcQzqzB986kfrnhs_E0n78Js4PQ?docId=10249281dfcc401b8ca39ad339bd83c3
253487374;20130401;USA;USA;20;3;16;2;16;1.020408163;http://www.chicagotribune.com/news/sns-rt-us-usa-georgia-gunsbre931028-20130401,0,3289321.story
253487375;20130401;USA;USA;20;3;4;2;4;1.020408163;http://www.chicagotribune.com/news/sns-rt-us-usa-georgia-gunsbre931028-20130401,0,3289321.story
253487376;20130401;USA;USA;20;3;10;1;10;1.10701107;http://ca.reuters.com/article/businessNews/idCABRE93009I20130401
253487390;20130401;USA;USA;70;7;8;1;8;1.869158879;http://www.foxnews.com/world/2013/04/01/us-reportedly-sends-f-22-jets-to-join-south-korea-drills/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fmost-popular+%28Internal+-+Most+Popular+Content%29
253487391;20130401;USA;USA;71;7.4;30;3;30;4.072119494;http://www.miamiherald.com/2013/04/01/3317538/safeway-ceos-pay-dips-slightly.html
253487426;20130401;USA;USA;20;3;10;1;10;5.027932961;http://www.upi.com/Business_News/Security-Industry/2013/04/01/T56-engine-enhancements-tested/UPI-75501364824595/
253487431;20130401;USA;USA;71;7.4;8;1;8;2.205882353;http://www.foxnews.com/tech/2013/04/01/giant-robot-jellyfish-to-patrol-us-coasts/
253487437;20130401;USA;VAT;20;3;5;1;5;8.771929825;http://www.philippinetimes.com/index.php/sid/213530029/scat/2411cd3571b4f088
253487459;20130401;USA;USA;20;3;10;1;10;1.315171442;http://www.gazette.com/articles/paso-152938-drilling-county.html
253487463;20130401;USA;USA;70;7;2;1;2;1.639344262;http://usnews.nbcnews.com/_news/2013/04/01/17551374-justice-is-death-for-alleged-shooter-in-batman-rampage-prosecutor-says?lite
253487500;20130401;USA;USA;20;3;1;1;1;1.366742597;http://www.nypost.com/p/news/national/fear_stalks_texas_das_3qZmBTN0q5e28mSnwH3MTP?utm_medium=rss&utm_content=National
253487501;20130401;USA;USA;20;3;1;1;1;2.13592233;http://www.usnews.com/news/newsgram/articles/2013/04/01/aryan-brotherhood-texas-prosecutor-connection-mike-mclelland?s_cid=rss:aryan-brotherhood-texas-prosecutor-connection-mike-mclelland
253487502;20130401;USA;USA;20;3;1;1;1;2.13592233;http://www.usnews.com/news/newsgram/articles/2013/04/01/aryan-brotherhood-texas-prosecutor-connection-mike-mclelland?s_cid=rss:aryan-brotherhood-texas-prosecutor-connection-mike-mclelland
253487518;20130401;USA;USA;20;3;2;1;2;1.366742597;http://www.nypost.com/p/news/national/fear_stalks_texas_das_3qZmBTN0q5e28mSnwH3MTP?utm_medium=rss&utm_content=National
253487691;20130401;USA;CHN;20;3;12;2;12;2.072896593;http://www.reuters.com/article/2013/04/02/us-china-apple-apology-idUSBRE9300DM20130402?feedType=RSS&feedName=technologyNews
253487692;20130401;USA;CHN;20;3;12;1;12;2.130325815;http://in.reuters.com/article/2013/04/01/china-apple-apology-idINDEE9300DE20130401?feedType=RSS&feedName=technologyNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINtechnologyNews+%28News+%2F+IN+%2F+Technology+News%29
253487693;20130401;USA;CHN;20;3;4;1;4;2.130325815;http://in.reuters.com/article/2013/04/01/china-apple-apology-idINDEE9300DE20130401?feedType=RSS&feedName=technologyNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINtechnologyNews+%28News+%2F+IN+%2F+Technology+News%29
