20160818	RUS	RUS	071
20160818	SOM	JPN	071
20160818	USA	LBR	071
20160818	USA	LBR	071
20160818	USA	USA	070
20160818	USA	USA	073
20160818	USA	USA	070
20160818	AUS	USA	071
20160818	CAN	NMR	070
20160818	CAN	USA	070
20160818	ESP	AFR	073
20160818	JAM	JAM	070
20160818	NAM	GBR	071
20160818	NAM	GBR	071
20160818	NAM	GBR	071
20160818	SYR	SYR	073
20160818	USA	CHN	073
20160818	USA	CHN	073
20160818	USA	CHN	073
20160818	USA	CHN	073
20160818	USA	UKR	072
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	UKR	072
20160817	GBR	GBR	071
20160818	AFG	YEM	073
20160818	AFG	YEM	073
20160818	AFR	EGY	071
20160818	AFR	EGY	071
20160818	CHN	AUS	071
20160818	EGY	YEM	073
20160818	EGY	YEM	073
20160818	EUR	GBR	071
20160818	GBR	KEN	073
20160818	GBR	KEN	073
20160818	GBR	KEN	073
20160818	GBR	KEN	073
20160818	GBR	GBR	071
20160818	PAK	BGD	071
20160818	PAK	BGD	071
20160818	TZA	TZA	071
20160818	USA	MYS	070
20160818	USA	USA	074
20160818	USA	USA	074
20160818	AZE	TUR	071
20160818	IRN	LBN	071
20160818	IRN	LBN	071
20160818	KEN	USA	073
20160818	KEN	USA	073
20160818	LBN	NGA	071
20160818	LBN	NGA	071
20160818	MCO	USA	071
20160818	MYS	MYS	070
20160818	MYS	MYS	070
20160818	NMR	USA	070
20160818	SRB	CAN	071
20160818	SRB	CAN	071
20160818	SWE	EST	071
20160818	SWE	EST	071
20160818	SWE	EST	071
20160818	ZAF	AFR	071
20160719	GRC	TUR	075
20160719	GRC	TUR	075
20160818	BLR	CHN	070
20160818	BLR	CHN	070
20160818	BLR	CHN	070
20160818	CHN	AFR	070
20160818	CHN	AFR	071
20160818	CHN	AFR	071
20160818	CHN	AFR	071
20160818	CHN	AFR	071
20160818	CHN	KEN	071
20160818	CHN	KEN	071
20160818	CHN	KEN	071
20160818	DEU	IRN	070
20160818	DEU	AFG	075
20160818	EUR	ARM	071
20160818	EUR	ARM	071
20160818	EUR	ARM	071
20160818	IND	ZWE	071
20160818	IRN	IRQ	072
20160818	IRN	IRQ	072
20160818	IRN	IRQ	072
20160818	IRN	SYR	072
20160818	NOR	GBR	071
20160818	UGA	KEN	071
20160818	UGA	KEN	071
20160818	UGA	KEN	071
20160818	USA	CAN	075
20160818	USA	USA	073
20150819	TZA	AFR	071
20150819	TZA	AFR	071
20160818	DEU	FRA	073
20160818	DEU	FRA	073
20160818	EUR	ITA	071
20160818	GBR	ARE	070
20160818	IRL	ESP	070
20160818	IRL	IRL	070
20160818	ISR	ISR	071
20160818	USA	LUX	071
20160818	PSE	PSE	070
20160818	UKR	WST	071
20160818	UKR	WST	071
20160818	UKR	RUS	070
20160818	USA	EUR	071
20160818	USA	PSE	071
20160818	USA	PSE	071
20160818	USA	ISR	071
20160818	USA	ISR	071
20160818	USA	ISR	071
20160818	USA	PSE	071
20160818	USA	PSE	071
20160818	USA	PSE	071
20160818	USA	PSE	071
20160719	USA	USA	073
20160818	COG	COD	073
20160818	FRA	EUR	075
20160818	IRQ	QAT	071
20160818	LBR	NGA	072
20160818	MEX	FRA	070
20160818	USA	USA	071
