20140530	MWI	USA	071
20140530	MWI	USA	071
20140530	MYS	CHN	070
20140530	MYS	CHN	070
20140530	MYS	CHN	070
20140530	MYS	CHN	070
20140530	MYS	EUR	071
20140530	MYS	MYS	070
20140530	MYS	PHL	073
20140530	MYS	PHL	073
20140530	MYS	PHL	073
20140530	MYS	USA	071
20140530	MYS	USA	071
20140530	NGA	NGA	073
20140530	NGA	USA	073
20140530	NGA	UGA	071
20140530	NGA	NGA	070
20140530	USA	CAF	070
20140530	NLD	IRL	071
20140530	NLD	IRL	071
20140530	NMR	SYR	071
20140530	NMR	USA	071
20140530	NMR	USA	070
20140530	NOR	DNK	071
20140530	NOR	DNK	071
20140530	NOR	DNK	071
20140530	NOR	GBR	071
20140530	NOR	USA	071
20140530	NRU	AUS	073
20140530	NRU	AUS	073
20140530	NRU	AUS	073
20140530	NZL	AUS	070
20140530	NZL	AUS	070
20140530	NZL	FRA	072
20140530	NZL	FRA	072
20140530	NZL	USA	073
20140530	OMN	BHR	071
20140530	OMN	BHR	071
20140530	OMN	ITA	071
20140530	OMN	ITA	071
20140530	PAK	AFG	072
20140530	PAK	AFG	072
20140530	PAK	AFG	072
20140530	PAK	IRN	071
20140530	PAK	IRN	071
20140530	PAK	NLD	070
20140530	PAK	OMN	070
20140530	PAK	OMN	070
20140530	PAK	USA	075
20140530	PAK	USA	075
20140530	PAK	OMN	070
20140530	PER	USA	071
20140530	PHL	CHN	073
20140530	PHL	CHN	073
20140530	PHL	CHN	073
20140530	PHL	FIN	071
20140530	PHL	MYS	073
20140530	PHL	MYS	073
20140530	PHL	MYS	073
20140530	PHL	MYS	073
20140530	PHL	PHL	071
20140530	PHL	PHL	071
20140530	PHL	CHN	073
20140530	PHL	CHN	073
20140530	PHL	MYS	073
20140530	PHL	MYS	073
20140530	PHL	MYS	073
20140530	PNG	AUS	073
20140530	PNG	AUS	073
20140530	PNG	AUS	073
20140530	POL	EUR	071
20140530	POL	POL	071
20140530	POL	POL	071
20140530	POL	POL	071
20140530	PSE	DEU	075
20140530	PSE	DEU	075
20140530	PSE	ISR	075
20140530	PSE	ISR	075
20140530	PSE	JOR	073
20140530	PSE	JOR	073
20140530	PSE	JOR	075
20140530	PSE	QAT	071
20140530	PSE	ISR	072
20140530	PSE	JOR	075
20140530	RUS	AFG	071
20140530	RUS	AFG	071
20140530	RUS	AFG	071
20140530	RUS	ARM	072
20140530	RUS	BLR	071
20140530	RUS	BLR	071
20140530	RUS	BLR	071
20140530	RUS	BLR	071
20140530	RUS	KGZ	070
20140530	RUS	RUS	073
20140530	RUS	RUS	072
20140530	RUS	RUS	070
20140530	RUS	RUS	070
20140530	RUS	RUS	070
20140530	RUS	RUS	070
20140530	RUS	RUS	070
20140530	RUS	SRB	070
20140530	RUS	SRB	070
20140530	RUS	SRB	070
20140530	RUS	SRB	073
20140530	RUS	SRB	073
20140530	RUS	SRB	073
20140530	RUS	SYR	073
20140530	RUS	SYR	073
20140530	RUS	SYR	073
20140530	RUS	UKR	070
20140530	RUS	UKR	070
20140530	RUS	UKR	070
20140530	RUS	UKR	070
20140530	RUS	UKR	070
20140530	RUS	UKR	070
20140530	RUS	UKR	071
20140530	RUS	UKR	071
20140530	RUS	UKR	072
20140530	RUS	UKR	073
20140530	RUS	UKR	073
20140530	RUS	UKR	073
20140530	RUS	USA	071
20140530	RUS	USA	071
20140530	RUS	USA	075
20140530	RUS	USA	075
20140530	RUS	USA	075
20140530	RUS	USA	071
20140530	RUS	SRB	070
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	UKR	072
20140530	RUS	RUS	071
20140530	SAU	EGY	070
20140530	SAU	EGY	070
20140530	SAU	EGY	070
20140530	SAU	EGY	070
20140530	SAU	IRQ	071
20140530	SAU	IRQ	071
20140530	SDN	GBR	070
20140530	SDN	GBR	070
20140530	SDN	GIN	074
20140530	SDN	GNB	074
20140530	SEA	THA	070
20140530	SEA	THA	070
20140530	SGP	CHN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	070
20140530	SGP	JPN	071
20140530	SGP	SGP	071
20140530	SLV	USA	070
20140530	SOM	NLD	071
20140530	SOM	SOM	070
20140530	SOM	USA	070
20140530	SSD	CAF	071
20140530	SSD	CAF	071
20140530	SSD	SDN	071
20140530	SSD	USA	070
20140530	SSD	USA	070
20140530	SWE	DNK	071
20140530	SWE	SWE	070
20140530	SWE	SWE	070
20140530	SWE	USA	071
20140530	SWE	FRA	071
20140530	SYR	ARM	070
20140530	SYR	CHN	073
20140530	SYR	NOR	075
20140530	THA	CHE	071
20140530	THA	GBR	071
20140530	THA	GBR	071
20140530	THA	MMR	070
20140530	THA	MMR	070
20140530	THA	MMR	070
20140530	THA	NLD	071
20140530	THA	SWE	071
20140530	TUR	GMB	070
20140530	TUR	GMB	070
20140530	TUR	ISR	070
20140530	TUR	ISR	070
20140530	TUR	PSE	070
20140530	TUR	PSE	070
20140530	TUR	PSE	070
20140530	TUR	TUR	070
20140530	TZA	COD	070
20140530	TZA	LBN	070
20140530	TZA	LBN	070
20140530	TZA	SDN	070
20140530	TZA	SSD	070
20140530	TZA	SSD	070
20140530	UGA	AFR	070
20140530	UGA	AFR	071
20140530	UGA	AFR	071
20140530	UGA	SDN	073
20140530	UGA	SDN	073
20140530	UGA	SDN	073
20140530	UGA	SSD	073
20140530	UGA	SSD	073
20140530	UGA	SSD	073
20140530	UKR	DEU	070
20140530	UKR	DEU	070
20140530	UKR	EUR	070
20140530	UKR	EUR	070
20140530	UKR	RUS	070
20140530	UKR	RUS	070
20140530	UKR	RUS	070
20140530	UKR	RUS	070
20140530	UKR	RUS	070
20140530	UKR	RUS	070
20140530	UKR	RUS	071
20140530	UKR	RUS	072
20140530	UKR	RUS	072
20140530	UKR	RUS	075
20140530	UKR	RUS	075
20140530	UKR	UKR	070
20140530	UKR	UKR	070
20140530	UKR	UKR	070
20140530	UKR	UKR	070
20140530	UKR	USA	072
20140530	UKR	USA	072
20140530	UKR	USA	072
20140530	UKR	USA	072
20140530	UKR	USA	072
20140530	USA	AFG	071
20140530	USA	AFG	071
20140530	USA	AFG	072
20140530	USA	AFG	072
20140530	USA	AFG	072
20140530	USA	AFG	072
20140530	USA	AFG	072
20140530	USA	AFG	070
20140530	USA	AUS	071
20140530	USA	AUS	071
20140530	USA	BGR	071
20140530	USA	BRA	073
20140530	USA	CAN	070
20140530	USA	CAN	072
20140530	USA	CAN	072
20140530	USA	CAN	073
20140530	USA	CAN	073
20140530	USA	CHN	070
20140530	USA	CHN	070
20140530	USA	CHN	070
20140530	USA	CHN	070
20140530	USA	CHN	070
20140530	USA	CHN	071
20140530	USA	CHN	071
20140530	USA	CHN	071
20140530	USA	CHN	071
20140530	USA	DEU	070
20140530	USA	DEU	071
20140530	USA	DEU	071
20140530	USA	ESP	070
20140530	USA	ESP	070
20140530	USA	EUR	070
20140530	USA	EUR	071
20140530	USA	EUR	071
20140530	USA	EUR	072
20140530	USA	GBR	070
20140530	USA	GBR	070
20140530	USA	GBR	070
20140530	USA	GBR	071
20140530	USA	GRC	070
20140530	USA	IRN	070
20140530	USA	IRN	070
20140530	USA	IRQ	071
20140530	USA	IRQ	072
20140530	USA	IRQ	072
20140530	USA	JPN	071
20140530	USA	LBY	071
20140530	USA	MEX	070
20140530	USA	MEX	070
20140530	USA	MEX	071
20140530	USA	MEX	071
20140530	USA	MEX	073
20140530	USA	MEX	073
20140530	USA	MEX	075
20140530	USA	MEX	075
20140530	USA	MEX	075
20140530	USA	MLT	073
20140530	USA	JPN	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	070
20140530	USA	NGA	070
20140530	USA	NGA	070
20140530	USA	NGA	070
20140530	USA	NGA	073
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	PSE	072
20140530	USA	PSE	072
20140530	USA	PSE	071
20140530	USA	RUS	070
20140530	USA	RUS	070
20140530	USA	RUS	070
20140530	USA	RUS	075
20140530	USA	RUS	075
20140530	USA	SDN	075
20140530	USA	SDN	075
20140530	USA	SDN	075
20140530	USA	SDN	075
20140530	USA	SLV	070
20140530	USA	SLV	070
20140530	USA	SLV	070
20140530	USA	SSD	070
20140530	USA	SSD	070
20140530	USA	SYR	071
20140530	USA	SYR	071
20140530	USA	SYR	071
20140530	USA	SYR	071
20140530	USA	SYR	071
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	070
20140530	USA	THA	075
20140530	USA	THA	075
20140530	USA	TUR	070
20140530	USA	TUR	070
20140530	USA	UKR	070
20140530	USA	UKR	070
20140530	USA	UKR	072
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	073
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	071
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	072
20140530	USA	USA	075
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
20140530	USA	USA	070
