20150130	SWE	NLD	071
20150130	SYR	EUR	070
20150130	TCD	CMR	071
20150130	TCD	CMR	071
20150130	TCD	CMR	072
20150130	TCD	CMR	072
20150130	TCD	CMR	072
20150130	TCD	NER	072
20150130	TCD	NER	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	TCD	TCD	072
20150130	THA	CHN	070
20150130	THA	CHN	070
20150130	TUR	SAU	075
20150130	TUR	SYR	075
20150130	TUR	SYR	075
20150130	TUR	USA	073
20150130	TUR	USA	073
20150130	TUR	USA	073
20150130	TUR	GIN	070
20150130	UGA	AFR	071
20150130	UGA	SOM	071
20150130	UGA	UGA	071
20150130	UGA	UGA	071
20150130	UGA	UGA	071
20150130	UGA	UGA	070
20150130	UGA	ETH	070
20150130	UKR	AUT	071
20150130	UKR	AUT	071
20150130	UKR	BLR	070
20150130	UKR	RUS	070
20150130	UKR	RUS	070
20150130	UKR	RUS	070
20150130	UKR	RUS	070
20150130	UKR	RUS	072
20150130	UKR	UKR	074
20150130	UKR	USA	070
20150130	UKR	GRC	071
20150130	UKR	UKR	072
20150130	USA	AFG	070
20150130	USA	AFG	071
20150130	USA	AFR	070
20150130	USA	AUS	070
20150130	USA	AUS	071
20150130	USA	AUS	075
20150130	USA	AUS	075
20150130	USA	AUS	070
20150130	USA	CAN	070
20150130	USA	CAN	070
20150130	USA	CHL	070
20150130	USA	CHL	070
20150130	USA	CHN	073
20150130	USA	CHN	073
20150130	USA	CHN	073
20150130	USA	CHN	073
20150130	USA	DEU	071
20150130	USA	DOM	071
20150130	USA	DOM	071
20150130	USA	EGY	070
20150130	USA	EGY	071
20150130	USA	EGY	071
20150130	USA	FRA	071
20150130	USA	GBR	070
20150130	USA	GBR	070
20150130	USA	GBR	070
20150130	USA	GBR	070
20150130	USA	GBR	071
20150130	USA	GBR	073
20150130	USA	GRC	070
20150130	USA	GRC	073
20150130	USA	HTI	071
20150130	USA	EUR	070
20150130	USA	EUR	070
20150130	USA	EUR	070
20150130	USA	WST	070
20150130	USA	IRN	072
20150130	USA	IRN	072
20150130	USA	IRN	072
20150130	USA	IRQ	070
20150130	USA	IRQ	074
20150130	USA	IRQ	074
20150130	USA	IRQ	072
20150130	USA	IRQ	072
20150130	USA	ISL	071
20150130	USA	ISL	071
20150130	USA	ISR	071
20150130	USA	ISR	072
20150130	USA	ISR	072
