20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	YEM	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	073
20130723	USA	AUS	070
20130723	USA	BEL	070
20130723	USA	BEL	070
20130723	USA	CAN	070
20130723	USA	CAN	070
20130723	USA	EGY	070
20130723	USA	EGY	070
20130723	USA	EGY	070
20130723	USA	EGY	070
20130723	USA	FRA	070
20130723	USA	GBR	070
20130723	USA	IDN	070
20130723	USA	IRQ	070
20130723	USA	ISR	070
20130723	USA	ISR	070
20130723	USA	KEN	071
20130723	USA	KOR	070
20130723	USA	LBN	070
20130723	USA	LBN	070
20130723	USA	LBN	070
20130723	USA	LBN	070
20130723	USA	LKA	070
20130723	USA	LKA	070
20130723	USA	MLI	070
20130723	USA	NGA	070
20130723	USA	PAK	070
20130723	USA	SEN	070
20130723	USA	SEN	070
20130723	USA	SEN	070
20130723	USA	SGP	071
20130723	USA	SWE	070
20130723	USA	SWE	070
20130723	USA	SWE	070
20130723	USA	SWE	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	SYR	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	AFG	072
20130723	USA	COL	073
20130723	USA	COL	073
20130723	USA	COL	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	VEN	BOL	075
20130723	VEN	BOL	075
20130723	VEN	BOL	075
20130723	VEN	BOL	075
20130723	VEN	BOL	075
20130723	VEN	BOL	075
20130723	VEN	CHN	071
20130723	VEN	CHN	071
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	NIC	075
20130723	VEN	RUS	072
20130723	VEN	RUS	075
20130723	VEN	RUS	075
20130723	VEN	RUS	075
20130723	VEN	RUS	075
20130723	VEN	RUS	075
20130723	VEN	RUS	075
20130723	VEN	USA	075
