19790319	AFG	AFG	072
19790319	AFR	USA	073
19790319	AFR	USA	073
19790319	KWT	YEM	072
19790319	KWT	YEM	072
19790319	SDN	ERI	073
19790319	SDN	ERI	073
19790320	PRT	BGR	070
19790320	PRT	BGR	070
19790320	RUS	VNM	070
19790321	CHN	THA	070
19790321	FIN	AFR	070
19790321	RUS	VNM	070
19790321	RUS	VNM	070
19790322	CAN	PAK	071
19790322	CAN	PAK	071
19790322	CAN	PAK	071
19790322	CAN	PAK	071
19790322	CHN	VNM	072
19790322	CHN	VNM	072
19790322	LAO	VNM	070
19790322	PAK	AFG	075
19790322	PAK	AFG	075
19790322	PAK	AFG	075
19790322	PAK	AFG	075
19790322	POL	VNM	070
19790322	POL	VNM	070
19790322	POL	VNM	070
19790322	SEA	THA	070
19790322	BDI	AFR	070
19790322	BDI	AFR	070
19790322	BDI	AFR	070
19790323	AFR	USA	070
19790323	AFR	USA	071
19790323	AFR	USA	071
19790323	AFR	USA	071
19790323	AFR	USA	071
19790323	CHN	LAO	072
19790323	EGY	USA	071
19790323	EGY	USA	071
19790323	FRA	JPN	072
19790323	IRN	AFG	073
19790323	LBY	UGA	072
19790323	LBY	UGA	072
19790323	LBY	UGA	072
19790323	RUS	VNM	072
19790323	RUS	VNM	072
19790323	TZA	TZA	075
19790323	TZA	TZA	075
19790323	ZAF	USA	070
19790323	ZAF	USA	071
19790323	ZAF	USA	071
19790323	ZAF	USA	071
19790323	ZAF	USA	071
19790323	IRN	AFG	073
19790323	IRN	AFG	073
19790324	BLR	BLR	073
19790324	FIN	IRQ	071
19790324	ZAF	AFR	072
19790325	BGR	GRC	070
19790325	BGR	GRC	070
19790325	BGR	GRC	070
19790325	CHN	VNM	070
19790326	CHN	VNM	070
19790326	RUS	RUS	070
19790326	RUS	RUS	070
19790326	RUS	SYR	070
19790326	SYR	RUS	070
19790326	SYR	RUS	070
19790326	THA	VNM	073
19790326	THA	VNM	073
19790326	USA	EGY	071
19790326	USA	EGY	071
19790327	DZA	FRA	073
19790327	DZA	FRA	073
19790327	RUS	CPV	070
19790327	RUS	CPV	070
19790328	AUS	LKA	070
19790328	AUS	LKA	070
19790328	PHL	PHL	072
19790328	PHL	PHL	072
19790328	VNM	RUS	070
19790328	GBR	IRN	071
19790328	PAK	IRN	071
19790328	TUR	IRN	071
19790329	CUB	AGO	070
19790329	DEU	EGY	071
19790329	DEU	EGY	071
19790329	DEU	EGY	071
19790329	ISR	USA	070
19790329	MLI	FJI	070
19790329	RUS	VNM	072
19790329	USA	USA	073
19790329	YEM	CUB	073
19790329	YEM	CUB	073
19790329	YEM	CUB	073
19790329	MLI	FJI	070
19790330	AUS	AUS	070
19790330	EGY	EGY	074
19790330	EGY	EGY	074
19790330	JPN	IDN	071
19790330	KHM	VNM	075
19790330	KHM	VNM	075
19790330	KHM	VNM	075
19790330	KHM	VNM	075
19790330	RUS	AFG	073
19790330	RUS	AFG	073
19790330	RUS	AFG	073
19790330	RUS	USA	070
19790330	USA	AFG	072
19790330	USA	AFG	072
19790330	USA	AFG	072
19790330	USA	AFG	072
19790330	USA	USA	071
19790330	VNM	CHN	070
19790330	AUS	AUS	070
19790331	DEU	VNM	070
19790331	DEU	VNM	070
19790331	DEU	VNM	070
19790331	EGY	EUR	071
19790331	EGY	MEA	071
19790331	EGY	EGY	071
19790331	EGY	MEA	071
19790331	EUR	EGY	071
19790331	LBY	UGA	073
19790331	UGA	LBY	073
19790331	UGA	LBY	073
19790331	UGA	LBY	073
19790401	CHN	MYS	070
19790401	EUR	TUR	071
19790401	LBY	UGA	072
19790401	LBY	UGA	073
19790401	LBY	UGA	073
19790401	LBY	UGA	073
19790401	NLD	MMR	070
19790401	SAU	AFR	071
19790401	SAU	AFR	071
19790401	SWE	MOZ	071
19790401	EUR	TUR	071
19790401	NLD	MMR	070
19790401	SWE	MOZ	071
19790401	SWE	MOZ	071
19790402	AFR	AFR	070
19790402	EGY	ISR	070
19790402	KEN	LBY	070
19790402	RUS	MNG	070
19790402	TCD	NGA	075
19790402	TCD	NGA	075
19790402	TZA	UGA	072
19790402	TZA	UGA	072
19790402	TZA	UGA	072
19790402	TZA	UGA	072
19790403	CHN	KHM	072
19790403	CHN	KHM	072
19790403	CHN	KHM	072
19790403	CHN	KHM	072
19790403	ISR	EGY	070
19790403	ISR	EGY	070
19790403	KHM	KHM	072
19790403	LBY	TZA	072
19790403	LBY	TZA	072
19790403	VNM	KHM	072
19790404	BLR	AGO	072
19790404	BLR	AGO	072
19790404	JPN	CHN	070
19790404	RUS	AGO	072
