20151207	PAK	AFG	075
20151207	PAK	AFG	075
20151207	PAK	AFG	075
20151207	TCD	NGA	072
20151207	USA	IRQ	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	USA	071
20151207	USA	USA	071
20151107	TUR	IRQ	072
20151107	TUR	IRQ	072
20151107	TUR	TUR	072
20151207	DEU	AFG	070
20151207	LVA	EUR	071
20151207	MAR	EUR	071
20151207	USA	EUR	071
20151207	NPL	SDN	072
