20160306	HRV	ARE	073
20160306	NZL	FRA	073
20160306	PRK	PHL	070
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	USA	AFG	071
20160306	USA	AFG	071
20160306	USA	USA	071
20160306	USA	ZWE	071
20160306	USA	ZWE	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	CHE	070
20160306	USA	CHE	070
20160306	GBR	GRC	073
20160306	GBR	GRC	073
20160306	GBR	USA	071
20160306	PAK	IND	070
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	AFG	070
20160306	USA	AFG	070
20160306	USA	MYS	071
20160306	USA	MYS	071
20160306	USA	USA	070
20160306	MYS	USA	071
20160306	MYS	USA	071
20160306	MYS	USA	071
20160306	NLD	BEL	070
20160306	NLD	BEL	070
20160306	SDN	SDN	071
20160306	BGD	FJI	070
20160306	GBR	GBR	071
20160306	GBR	IRL	071
20160306	ISR	EUR	071
20160306	MAR	KWT	071
20160306	USA	USA	070
20160306	AUS	ASA	071
20160306	JAM	IRL	070
20160306	USA	ISR	070
20160306	USA	USA	070
20150307	THA	SGP	071
20150307	THA	SGP	071
20160306	CAN	CAN	071
20160306	CHN	ISR	071
20160306	CHN	ISR	071
20160306	CHN	ISR	071
20160306	EGY	IRL	075
20160306	EGY	IRL	075
20160306	NGA	NGA	073
20160306	NGA	NGA	073
20160306	NGA	NGA	073
20160306	NZL	FRA	073
20160305	USA	MWI	071
20160306	GRC	GRC	073
20160306	GRC	GRC	073
20160306	KEN	AFR	074
20160306	KEN	AFR	074
20160306	UGA	AFR	074
20160306	UGA	AFR	074
20160306	UGA	AFR	074
20160306	USA	CAN	070
20160306	USA	CAN	070
20160306	USA	LBN	070
20160306	AUT	GRC	075
20160306	AUT	GRC	075
20160306	ISR	USA	071
20160306	MKD	GRC	075
20160306	MKD	GRC	075
20160306	PAK	DEU	070
20160306	RUS	EUR	071
20160306	SRB	GRC	075
20160306	SRB	GRC	075
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	YEM	070
20160306	USA	YEM	070
20160205	QAT	SOM	075
20160205	QAT	SOM	075
20160306	GRC	EUR	071
20160306	GRC	EUR	071
20160306	ITA	AFR	073
20160306	ITA	EUR	071
20160306	ITA	EUR	071
20160306	ITA	EUR	071
20160306	QAT	SOM	075
20160306	QAT	SOM	075
20160306	SOM	QAT	075
20160306	SOM	QAT	075
20160306	USA	USA	070
20160306	AFR	ZAF	071
20160306	GBR	EUR	075
20160306	GHA	CAN	073
20160306	IRN	LBN	072
20160306	OMN	KOR	071
20160306	QAT	AUS	070
20160306	QAT	AUS	070
20160306	SDN	SDN	073
20160306	GBR	EUR	070
20160306	SYR	DEU	070
20160306	SYR	DEU	070
20160306	SYR	SYR	070
20160306	USA	USA	073
20160306	ZWE	ZWE	070
20160306	BGR	GRC	075
20160306	ESP	HND	071
20160306	SWE	ECU	075
20160306	SWE	ECU	075
20160306	SYR	ISR	071
20160306	SYR	PSE	071
20160306	USA	USA	071
20160306	BWA	ZWE	070
20160306	CHN	CHN	071
20160306	GRC	DEU	070
20160306	GRC	DEU	070
20160306	IRQ	USA	070
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	JOR	SYR	073
20160306	JOR	SYR	073
20160306	NAM	NAM	070
20160306	PAK	USA	071
20160306	DEU	SYR	070
20160306	DEU	SYR	070
20160306	DEU	SYR	070
20160306	ECU	GBR	073
20160306	JPN	JPN	070
20160306	MYS	SEA	071
20160306	SYR	DEU	070
20160306	SYR	DEU	070
20160306	SYR	SYR	070
20160306	USA	USA	070
20160306	CAN	USA	075
20160306	CAN	USA	075
20160306	FRA	AUS	071
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	SYR	EUR	070
20160306	USA	USA	071
20160306	USA	USA	071
20150307	EUR	TUR	073
20150307	EUR	TUR	073
20160306	EUR	GRC	075
20160306	FRA	GBR	071
20160306	FRA	FRA	071
20160306	FRA	FRA	071
20160306	FRA	FRA	072
20160306	GBR	USA	071
20160306	UKR	RUS	070
20160306	UKR	RUS	070
20160306	USA	USA	071
20160306	USA	USA	070
20160306	USA	USA	071
20160306	EUR	GRC	070
20160306	FRA	GBR	071
20160306	FRA	FRA	071
20160306	FRA	FRA	072
20160306	LBN	SYR	073
20160306	LBN	SYR	073
20160306	USA	USA	071
20160306	EUR	GRC	070
20160306	USA	ZWE	071
20160306	ALB	NGA	070
20160306	ALB	NGA	070
20160306	ALB	NGA	070
20160306	PHL	SAU	071
20160306	AFR	USA	070
20160306	AFR	USA	070
20160306	AZE	HUN	070
20160306	AZE	HUN	070
20160306	AZE	AZE	070
20160306	AZE	HUN	070
20160306	AZE	HUN	070
20160306	IDN	IDN	072
20160306	KOR	EGY	071
20160306	KOR	EGY	071
20160306	RUS	IDN	072
20160306	RUS	IDN	072
20160306	USA	USA	070
20160306	IRN	TUR	070
20160306	IRN	TUR	070
20160306	NGA	AFR	070
20160306	NGA	NGA	070
20160306	TUR	IRN	072
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	ITA	USA	070
20160306	PRK	PRK	070
20160306	SYR	SYR	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	071
20160306	USA	USA	070
20160306	NGA	NGA	071
20160306	PHL	PHL	071
20160306	PHL	PHL	071
20160306	EUR	ESP	071
20160306	GRC	TUR	075
20160306	IRN	ISR	070
20160306	IRN	ISR	070
20160306	IRN	PSE	071
20160306	IRN	PSE	071
20160306	IRN	PSE	071
20160306	ISR	LBN	071
20160306	ISR	LBN	071
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	ISR	PSE	071
20160306	LBN	ISR	071
20160306	LBN	ISR	071
20160306	LBN	PSE	071
20160306	LBN	PSE	071
20160306	LBN	PSE	071
20160306	LBN	PSE	071
20160306	NMR	ESP	071
20160306	NMR	EUR	071
20160306	NMR	EUR	071
20160306	PSE	ISR	071
20160306	PSE	LBN	071
20160306	PSE	LBN	071
20160306	PSE	LBN	071
20160306	PSE	PSE	071
20160306	PSE	PSE	071
20160306	PSE	PSE	071
20160306	USA	EUR	071
20160306	USA	USA	072
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	UKR	071
20160306	AFR	USA	070
20160306	AFR	USA	070
20160306	AUS	USA	070
20160306	DEU	SYR	070
20160306	DEU	SYR	070
20160306	EUR	SYR	075
20160306	IRL	IRL	073
20160306	JOR	SYR	073
20160306	JOR	SYR	073
20160306	MKD	GRC	070
20160306	USA	GHA	070
20160306	TUR	GRC	070
20150307	GRC	HUN	073
20160306	EUR	TUR	075
20160306	TUR	GRC	070
20160306	USA	USA	073
20160306	USA	USA	073
20150307	SGP	JPN	071
20150307	SGP	JPN	071
20150307	SGP	VNM	071
20150307	SGP	VNM	071
20160306	AUS	FJI	070
20160306	CHN	JPN	071
20160306	FRA	EUR	071
20160306	IDN	ISR	070
20160306	IDN	ISR	070
20160306	EUR	GRC	071
20160306	RUS	ISR	070
20160306	RUS	ISR	070
20160306	RUS	PSE	070
20160306	RUS	PSE	070
20160306	RUS	SYR	070
20160306	RUS	ISR	070
20160306	RUS	PSE	070
20160306	SYR	RUS	072
20160306	SYR	RUS	072
20160306	SYR	RUS	072
20160306	SYR	RUS	072
20160306	CAN	BGD	071
20160306	CAN	BGD	071
20160306	FJI	FJI	070
20160306	GBR	BGD	071
20160306	GBR	BGD	071
20160306	GBR	BGD	071
20160306	EUR	GRC	071
20160306	NGA	NGA	073
20160306	NLD	BGD	071
20160306	NLD	BGD	071
20160306	NLD	BGD	071
20160306	PHL	PHL	071
20160306	SAU	SYR	071
20160306	SAU	SYR	071
20160306	SAU	SYR	071
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	EGY	EGY	071
20160306	NMR	USA	070
20160306	NMR	USA	070
20160306	PHL	SAU	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	CHE	NGA	072
20160306	GRC	WST	070
20160306	GRC	WST	070
20160306	GRC	WST	070
20160306	IRN	USA	071
20160306	IRN	USA	071
20160306	TUR	WST	070
