20150511	GNQ	CHN	071
20150511	EUR	ISR	071
20150511	EUR	PSE	071
20150511	ISR	NLD	075
20150511	NER	NGA	073
20150511	NER	NGA	073
20150511	POL	DEU	075
20150511	POL	DEU	075
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	TUR	SAU	075
20150411	CHN	USA	071
20150511	AUS	AUS	070
20150511	AUS	PHL	071
20150511	BDI	RWA	072
20150511	BDI	RWA	072
20150511	BDI	RWA	072
20150511	CHN	MWI	073
20150511	CHN	MWI	073
20150511	DEU	DEU	070
20150511	DEU	DEU	070
20150511	LBY	GBR	072
20150511	LBY	GBR	072
20150511	LBY	GBR	072
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	SAU	MYS	072
20150511	SAU	MYS	072
20150511	TWN	TWN	070
20150511	TWN	TWN	070
20150511	USA	UKR	070
20150511	USA	UKR	070
20150511	USA	UKR	070
20150511	USA	VCT	071
20150511	VCT	USA	071
20150511	AUS	AUS	070
20150511	GBR	EUR	072
20150511	IRL	AUS	073
20150511	JAM	JAM	070
20150511	JPN	GBR	070
20150511	JPN	GBR	071
20150511	TUN	TUN	073
20150511	UGA	AFR	071
20150511	USA	GRD	073
20150511	AFG	AFG	072
20150511	CAN	CAN	071
20150511	DEU	DEU	070
20150511	DNK	DNK	070
20150511	EUR	GBR	073
20150511	GBR	GBR	070
20150511	EUR	DEU	070
20150511	JPN	MEX	071
20150511	NLD	BRN	071
20150511	NER	NGA	073
20150511	NLD	BRN	071
20150511	NLD	BRN	071
20150511	NLD	BRN	071
20150511	SAU	MYS	072
20150511	SAU	SAU	072
20150511	USA	IRL	071
20150511	USA	IRL	071
20150511	USA	USA	070
20150511	USA	USA	070
20140511	IRN	RUS	071
20150511	CHN	USA	071
20150511	CHN	CHN	070
20150511	DZA	DZA	075
20150511	DZA	FRA	075
20150511	ESP	ESP	071
20150511	IRQ	CHE	070
20150511	JOR	SYR	075
20150511	JOR	SYR	075
20150511	LBN	IRN	071
20150511	LBN	IRN	071
20150511	LBN	IRN	071
20150511	CAN	CAN	071
20150511	SAU	MYS	072
20150511	SYR	RUS	072
20150511	SYR	RUS	072
20150511	SYR	RUS	072
20150511	SYR	RUS	072
20150511	SYR	RUS	072
20150511	TWN	TWN	070
20150511	TWN	TWN	070
20150511	UGA	UGA	070
20150511	USA	JOR	070
20150511	USA	JOR	070
20150511	USA	NPL	070
20150511	USA	TWN	070
20150511	USA	USA	071
20150511	ESP	DZA	070
20150511	USA	USA	070
20150511	RUS	UKR	070
20150511	RUS	UKR	070
20150511	USA	USA	073
20150511	USA	SDN	070
20150511	AFG	AFG	072
20150511	CAN	BMU	070
20150511	CAN	BMU	070
20150511	CYP	CYP	073
20150511	ETH	ETH	071
20150511	ETH	LBY	073
20150511	MYS	SAU	072
20150511	RUS	UKR	070
20150511	SLE	WAF	071
20150511	SLE	WAF	071
20150511	SLE	WAF	071
20150511	SLE	SWE	071
20150511	USA	NLD	071
20150511	USA	USA	072
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	USA	072
20150511	USA	USA	072
20150511	USA	FRA	070
20140511	CAN	CAN	071
20140511	IRN	IRN	071
20140511	IRN	IRN	071
20140511	NOR	UKR	070
20140511	USA	CAN	071
20150511	AUS	USA	070
20150511	CHN	ARM	070
20150511	CHN	ARM	070
20150511	DEU	NIC	071
20150511	DEU	NIC	071
20150511	IRN	YEM	070
20150511	USA	USA	071
20150511	USA	IRL	070
20150511	MYS	SAU	072
20150511	NOR	UKR	071
20150511	RUS	UKR	070
20150511	SOM	SOM	072
20150511	SOM	SOM	072
20150511	USA	USA	070
20150511	USA	USA	073
20150511	USA	USA	070
20150511	USA	FRA	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	CHN	BLR	071
20150511	GMB	GMB	070
20150511	EUR	BGR	071
20150511	SAF	SAF	070
20150511	ISR	USA	071
20150511	KHM	CHN	071
20150511	MDA	RUS	071
20150511	MDA	RUS	071
20150511	MEX	DEU	070
20150511	MYS	BGD	073
20150511	MYS	BGD	073
20150511	MYS	BGD	073
20150511	NGA	NGA	073
20150511	USA	ISL	073
20150511	NPL	NPL	070
20150511	RUS	DEU	070
20150511	SAU	ARE	070
20150511	SAU	ARE	070
20150511	SWE	SWE	070
20150511	USA	TUR	073
20150511	USA	USA	072
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	USA	070
20150511	USA	USA	071
20150511	USA	USA	072
20150511	USA	USA	072
20150511	USA	USA	072
20150511	USA	PAK	070
20150511	USA	PAK	070
20150511	AFR	BDI	070
20150511	AFR	BDI	070
20150511	CHN	NPL	073
20150511	CHN	NPL	073
20150511	CHN	NPL	073
20150511	CHN	NPL	073
20150511	DEU	USA	070
20150511	GBR	USA	071
20150511	ISR	USA	070
20150511	MYS	BGD	073
20150511	MYS	BGD	073
20150511	MYS	BGD	073
20150511	NLD	USA	071
20150511	OMN	DZA	075
20150511	OMN	DZA	075
20150511	OMN	DZA	075
20150511	USA	USA	071
